epoch,train_rmse_db,validation_rmse_db
1.000000000000000000e+00,6.440279811745765137e+00,6.669986744012869728e+00
2.000000000000000000e+00,6.011443407515665527e+00,6.369809231912024750e+00
3.000000000000000000e+00,5.525523038697208733e+00,6.009729800045591652e+00
4.000000000000000000e+00,5.012741165963547907e+00,5.707314437827958997e+00
5.000000000000000000e+00,4.623402082732128271e+00,5.513636492796464950e+00
6.000000000000000000e+00,4.464968182602960134e+00,5.419392573387589174e+00
7.000000000000000000e+00,4.314779965027846664e+00,5.111373049897365739e+00
8.000000000000000000e+00,4.190159089390316893e+00,4.764359889219057287e+00
9.000000000000000000e+00,4.086388304892029311e+00,4.707086791565941120e+00
1.000000000000000000e+01,4.000818622000535285e+00,4.456994781611266276e+00
1.100000000000000000e+01,3.931882435274152154e+00,4.426465614921196057e+00
1.200000000000000000e+01,3.870634157073571391e+00,4.311747498217783026e+00
1.300000000000000000e+01,3.825431713613313356e+00,4.324018501379383927e+00
1.400000000000000000e+01,3.788693851392813894e+00,4.230840999476018105e+00
1.500000000000000000e+01,3.752562097926657625e+00,4.211260384480547181e+00
1.600000000000000000e+01,3.720996506554549832e+00,4.172221047040325814e+00
1.700000000000000000e+01,3.693825378722067398e+00,4.176463522551370211e+00
1.800000000000000000e+01,3.666882082124018005e+00,4.139430807408805535e+00
1.900000000000000000e+01,3.639090080545051009e+00,4.164123153026406676e+00
2.000000000000000000e+01,3.616563707564601327e+00,4.105060564667316392e+00
2.100000000000000000e+01,3.590758631717943850e+00,4.112128843525109545e+00
2.200000000000000000e+01,3.570677514399251518e+00,4.116151943271180613e+00
2.300000000000000000e+01,3.549819768900341455e+00,4.085213533955431409e+00
2.400000000000000000e+01,3.526560640068824526e+00,4.094540264130563934e+00
2.500000000000000000e+01,3.504282878564361159e+00,4.043694242649464421e+00
2.600000000000000000e+01,3.480517954412820636e+00,4.047149258558863316e+00
2.700000000000000000e+01,3.458148410468255385e+00,4.052874504885093820e+00
2.800000000000000000e+01,3.442626037895367475e+00,4.026514018477246104e+00
2.900000000000000000e+01,3.414226061445471139e+00,4.017309332663651311e+00
3.000000000000000000e+01,3.393874832391975627e+00,4.000964370572791751e+00
3.100000000000000000e+01,3.377415014190605635e+00,4.007444211513668364e+00
3.200000000000000000e+01,3.354373124668404316e+00,3.954138800107542373e+00
3.300000000000000000e+01,3.333787973827299300e+00,3.976949338194024186e+00
3.400000000000000000e+01,3.315691550067063620e+00,3.942444113549499640e+00
3.500000000000000000e+01,3.303637908192650574e+00,3.916802417426309191e+00
3.600000000000000000e+01,3.275551145212858728e+00,3.896922633929330804e+00
3.700000000000000000e+01,3.253891522739719822e+00,3.921770507619559254e+00
3.800000000000000000e+01,3.234740878719232882e+00,3.862819455151270454e+00
3.900000000000000000e+01,3.219648378244531095e+00,3.906563278460576161e+00
4.000000000000000000e+01,3.224256297093007984e+00,3.839491425840323213e+00
4.100000000000000000e+01,3.173886691744134403e+00,3.852909042315536325e+00
4.200000000000000000e+01,3.156337823288617450e+00,3.857031253158477835e+00
4.300000000000000000e+01,3.137811593277500588e+00,3.800423008937314773e+00
4.400000000000000000e+01,3.109723005893874959e+00,3.815451745887711077e+00
4.500000000000000000e+01,3.089178478670211003e+00,3.801763295755633543e+00
4.600000000000000000e+01,3.070594870744204563e+00,3.753472782079593895e+00
4.700000000000000000e+01,3.051324617049439247e+00,3.786958250323317010e+00
4.800000000000000000e+01,3.027428922715859727e+00,3.713202199879249932e+00
4.900000000000000000e+01,3.005922030553306534e+00,3.736649638709450549e+00
5.000000000000000000e+01,2.991698211032384869e+00,3.727747024632861450e+00
5.100000000000000000e+01,2.980112607592941831e+00,3.692019325854825951e+00
5.200000000000000000e+01,2.948710573534986334e+00,3.721727570778412542e+00
5.300000000000000000e+01,2.925775320023550563e+00,3.658428190728767238e+00
5.400000000000000000e+01,2.907523155958262606e+00,3.631231403812679837e+00
5.500000000000000000e+01,2.886996258288910600e+00,3.650246751366606368e+00
