epoch,train_rmse_db,validation_rmse_db
1.000000000000000000e+00,6.808794846806090817e+00,7.212220918500798383e+00
2.000000000000000000e+00,6.649785950359903275e+00,6.966273174934081602e+00
3.000000000000000000e+00,6.489184285824579845e+00,6.763179233139985591e+00
4.000000000000000000e+00,6.290177717512168698e+00,6.541415986964063123e+00
5.000000000000000000e+00,6.055119456224514529e+00,6.339372240016124316e+00
6.000000000000000000e+00,5.805350109906754597e+00,6.148588912669318951e+00
7.000000000000000000e+00,5.525079858044378511e+00,5.944756580724979145e+00
8.000000000000000000e+00,5.256148814144574466e+00,5.767256299043105550e+00
9.000000000000000000e+00,5.010926224555456443e+00,5.645790776998515170e+00
1.000000000000000000e+01,4.820796946697702978e+00,5.606980357763082345e+00
1.100000000000000000e+01,4.668646264192652495e+00,5.580632313314248805e+00
1.200000000000000000e+01,4.571195658563826036e+00,5.535635924954405596e+00
1.300000000000000000e+01,4.495638861245139672e+00,5.501267348575548333e+00
1.400000000000000000e+01,4.437329944421757766e+00,5.448451552768564632e+00
1.500000000000000000e+01,4.387862767660971386e+00,5.369588538524011412e+00
1.600000000000000000e+01,4.342900449507927085e+00,5.323225268411526656e+00
1.700000000000000000e+01,4.300132266721085728e+00,5.249076183917952498e+00
1.800000000000000000e+01,4.262485978548890664e+00,5.202831320580133756e+00
1.900000000000000000e+01,4.228800078676702157e+00,5.114430606412482483e+00
2.000000000000000000e+01,4.193627373636162226e+00,5.058042266960789846e+00
2.100000000000000000e+01,4.156987864427686752e+00,4.983604188787722045e+00
2.200000000000000000e+01,4.124585868539552003e+00,4.933404958792385386e+00
2.300000000000000000e+01,4.094330268321530575e+00,4.898458004000496580e+00
2.400000000000000000e+01,4.064690701535404571e+00,4.820237599200157597e+00
2.500000000000000000e+01,4.034131652646395061e+00,4.778472980216909249e+00
2.600000000000000000e+01,4.005878677987455561e+00,4.711915720039432820e+00
2.700000000000000000e+01,3.976659380336807992e+00,4.671141567196592348e+00
2.800000000000000000e+01,3.945883478849825821e+00,4.622317105287160111e+00
2.900000000000000000e+01,3.914781186853801831e+00,4.564790680783988641e+00
3.000000000000000000e+01,3.885089193493177273e+00,4.535030258892911448e+00
3.100000000000000000e+01,3.857841970040984947e+00,4.537129796496145673e+00
3.200000000000000000e+01,3.831889951879838829e+00,4.480656756385164030e+00
3.300000000000000000e+01,3.807952693522972165e+00,4.429620525349283966e+00
3.400000000000000000e+01,3.784236737267352879e+00,4.404354558200840764e+00
3.500000000000000000e+01,3.758478428823185613e+00,4.363423246769322361e+00
3.600000000000000000e+01,3.733870523544775111e+00,4.335489966809444873e+00
3.700000000000000000e+01,3.709707468802334152e+00,4.301911025296099034e+00
3.800000000000000000e+01,3.686267674792195415e+00,4.304174581801820665e+00
3.900000000000000000e+01,3.660016093910275714e+00,4.272805013738234514e+00
4.000000000000000000e+01,3.630402092012154913e+00,4.244301294188861817e+00
4.100000000000000000e+01,3.601204771980394348e+00,4.216281491379913149e+00
4.200000000000000000e+01,3.574278960009890316e+00,4.175619414340561164e+00
4.300000000000000000e+01,3.546219621210463746e+00,4.178360321497633478e+00
4.400000000000000000e+01,3.519801402207901830e+00,4.149516254866898457e+00
