epoch,train_rmse_db,validation_rmse_db
1.000000000000000000e+00,6.734812235789300772e+00,7.374679117283138297e+00
2.000000000000000000e+00,6.647094976893139773e+00,7.264676763656288117e+00
3.000000000000000000e+00,6.543995456172542191e+00,7.164779270970129232e+00
4.000000000000000000e+00,6.399738964421255005e+00,7.058307859338336598e+00
5.000000000000000000e+00,6.194226524215287633e+00,6.906122335322409711e+00
6.000000000000000000e+00,5.918965546631454799e+00,6.693649106281172045e+00
7.000000000000000000e+00,5.582001556186999558e+00,6.452822721203870238e+00
8.000000000000000000e+00,5.206393471529322525e+00,6.181125092865594972e+00
9.000000000000000000e+00,4.882051536501388789e+00,5.897097644646206227e+00
1.000000000000000000e+01,4.656992700917803596e+00,5.671226563090407069e+00
1.100000000000000000e+01,4.503479641003862888e+00,5.490773455246723778e+00
1.200000000000000000e+01,4.379327284831825651e+00,5.245759806414096005e+00
1.300000000000000000e+01,4.279723292852136929e+00,5.042754842976430396e+00
1.400000000000000000e+01,4.197376421178846684e+00,4.893760990735452232e+00
1.500000000000000000e+01,4.124153159820850512e+00,4.795485415634587412e+00
1.600000000000000000e+01,4.060416961504079936e+00,4.690764383133037008e+00
1.700000000000000000e+01,4.005540043125227712e+00,4.586110646445863637e+00
1.800000000000000000e+01,3.959435842262199579e+00,4.491209652647943251e+00
1.900000000000000000e+01,3.922110731443692710e+00,4.479833988316856974e+00
2.000000000000000000e+01,3.889976334407079239e+00,4.419096806806426692e+00
2.100000000000000000e+01,3.865271076188012689e+00,4.398610773818634634e+00
2.200000000000000000e+01,3.841246689613785570e+00,4.326713362143788544e+00
2.300000000000000000e+01,3.822906956599630757e+00,4.341285237533173635e+00
2.400000000000000000e+01,3.802869745409667601e+00,4.276333571551345081e+00
2.500000000000000000e+01,3.784944255742449748e+00,4.268356708960400425e+00
2.600000000000000000e+01,3.769790596125768278e+00,4.233600400502306904e+00
2.700000000000000000e+01,3.756729604834474490e+00,4.271354555559550903e+00
2.800000000000000000e+01,3.739889298772785864e+00,4.205754371156706029e+00
2.900000000000000000e+01,3.728240028031168052e+00,4.176043146186488642e+00
3.000000000000000000e+01,3.714599097217378798e+00,4.199276128202376945e+00
3.100000000000000000e+01,3.699895649489525873e+00,4.138017515085627096e+00
3.200000000000000000e+01,3.685701869131863706e+00,4.152835594589429746e+00
3.300000000000000000e+01,3.672980308851706788e+00,4.138075186055104382e+00
3.400000000000000000e+01,3.659907042120887688e+00,4.109660881741851846e+00
3.500000000000000000e+01,3.650196722785250980e+00,4.126853325029499864e+00
3.600000000000000000e+01,3.639236630718013732e+00,4.085101778528526850e+00
3.700000000000000000e+01,3.624460676357695643e+00,4.101393765068460873e+00
3.800000000000000000e+01,3.611924065258495187e+00,4.067692912053731291e+00
3.900000000000000000e+01,3.599835546350287796e+00,4.036443409628089896e+00
4.000000000000000000e+01,3.589249747984792460e+00,4.076334859215572592e+00
4.100000000000000000e+01,3.574397978092241690e+00,4.030744420689452490e+00
4.200000000000000000e+01,3.563154269476372704e+00,4.001524666475841485e+00
4.300000000000000000e+01,3.550618613304707960e+00,4.037940391187314404e+00
4.400000000000000000e+01,3.536499927994022130e+00,3.991562653668889293e+00
4.500000000000000000e+01,3.523082018822426331e+00,3.980587060819215317e+00
4.600000000000000000e+01,3.513613714863552673e+00,4.010751780787827236e+00
4.700000000000000000e+01,3.498552775423456218e+00,3.950480400251195956e+00
4.800000000000000000e+01,3.486062017705869209e+00,3.972374863013012902e+00
4.900000000000000000e+01,3.473816282350985940e+00,3.947090956197994771e+00
5.000000000000000000e+01,3.462592967513480779e+00,3.937952164561792756e+00
5.100000000000000000e+01,3.449702533637941659e+00,3.944554633953100353e+00
5.200000000000000000e+01,3.436716250765429415e+00,3.918533642260963124e+00
5.300000000000000000e+01,3.421463194497952109e+00,3.911335340757564616e+00
5.400000000000000000e+01,3.408986633039227332e+00,3.909919742985954016e+00
5.500000000000000000e+01,3.394982695757386981e+00,3.879554604653130401e+00
5.600000000000000000e+01,3.382463776699480285e+00,3.908392841763966619e+00
5.700000000000000000e+01,3.369000706626479325e+00,3.873610338794433616e+00
5.800000000000000000e+01,3.357428265368806564e+00,3.865479020955732814e+00
5.900000000000000000e+01,3.343081327006411474e+00,3.879285005501905470e+00
6.000000000000000000e+01,3.328865496575669436e+00,3.833209491680054981e+00
6.100000000000000000e+01,3.314347858655255052e+00,3.847848628198184517e+00
6.200000000000000000e+01,3.302437507719138576e+00,3.805750243679802747e+00
6.300000000000000000e+01,3.290501178816390926e+00,3.882329210463797864e+00
6.400000000000000000e+01,3.273585225164154178e+00,3.805474325231323895e+00
6.500000000000000000e+01,3.260711932859209128e+00,3.846010227697556072e+00
6.600000000000000000e+01,3.246191763737749536e+00,3.779519063965155024e+00
6.700000000000000000e+01,3.232801601354099219e+00,3.808832517775537774e+00
6.800000000000000000e+01,3.216296879498172334e+00,3.805457238714425650e+00
6.900000000000000000e+01,3.202419414483545612e+00,3.801497823652859598e+00
7.000000000000000000e+01,3.184749973900034004e+00,3.784170200696860942e+00
7.100000000000000000e+01,3.170131280815622787e+00,3.782406006457479819e+00
7.200000000000000000e+01,3.155280445755833885e+00,3.765396529854955876e+00
