epoch,train_rmse_db,validation_rmse_db
1.000000000000000000e+00,6.671685457595105895e+00,6.675390806521025233e+00
2.000000000000000000e+00,6.314534020791591651e+00,6.288093898154984984e+00
3.000000000000000000e+00,5.875083592699799517e+00,5.899000869550095061e+00
4.000000000000000000e+00,5.367704046579988564e+00,5.586249673216079792e+00
5.000000000000000000e+00,4.904740769506771514e+00,5.393288314033659603e+00
6.000000000000000000e+00,4.662685972553785696e+00,5.425047343044266057e+00
7.000000000000000000e+00,4.550065013738435304e+00,5.346918897749523225e+00
8.000000000000000000e+00,4.455347340807786161e+00,5.226364785235904087e+00
9.000000000000000000e+00,4.370541216857484201e+00,5.045397456105121137e+00
1.000000000000000000e+01,4.296167780845030038e+00,4.932415800632422354e+00
1.100000000000000000e+01,4.224398280362751557e+00,4.841801407215420738e+00
1.200000000000000000e+01,4.157859046408319159e+00,4.803250763477013408e+00
1.300000000000000000e+01,4.091517178130269272e+00,4.677906513199503458e+00
1.400000000000000000e+01,4.019560380371973274e+00,4.611744584659677848e+00
1.500000000000000000e+01,3.954799306936942926e+00,4.551348838412091702e+00
1.600000000000000000e+01,3.888404244247699815e+00,4.456156933905161210e+00
1.700000000000000000e+01,3.827185111564467501e+00,4.397439503455321308e+00
1.800000000000000000e+01,3.773691445067735906e+00,4.292263451524313211e+00
1.900000000000000000e+01,3.722380072540256712e+00,4.306362096240883730e+00
2.000000000000000000e+01,3.669591666507316052e+00,4.204962697230715030e+00
2.100000000000000000e+01,3.623420017668125048e+00,4.166363779426585090e+00
2.200000000000000000e+01,3.581387935519690924e+00,4.153416372847635429e+00
2.300000000000000000e+01,3.538385361532491391e+00,4.094538574746274584e+00
2.400000000000000000e+01,3.499216845432469913e+00,4.088961496615259428e+00
2.500000000000000000e+01,3.457929573371711918e+00,4.024949371638052220e+00
2.600000000000000000e+01,3.421936447104560575e+00,3.992418301584955032e+00
2.700000000000000000e+01,3.392665174308124421e+00,4.017487369205414716e+00
2.800000000000000000e+01,3.367216614669084507e+00,3.951810403256972748e+00
2.900000000000000000e+01,3.334129068651070504e+00,3.933773022188753465e+00
3.000000000000000000e+01,3.300025545070850885e+00,3.886024357212633173e+00
3.100000000000000000e+01,3.268065933441405946e+00,3.881929904920163654e+00
3.200000000000000000e+01,3.248303739357012443e+00,3.876339769559489223e+00
3.300000000000000000e+01,3.219313095309104700e+00,3.815142261548294389e+00
3.400000000000000000e+01,3.187919179144187876e+00,3.842533493469959982e+00
3.500000000000000000e+01,3.164562816299712367e+00,3.753759893905174838e+00
3.600000000000000000e+01,3.144234062904036175e+00,3.802130450061668832e+00
3.700000000000000000e+01,3.112862599630767946e+00,3.732710264938659872e+00
3.800000000000000000e+01,3.087627339772404333e+00,3.721845404965779203e+00
3.900000000000000000e+01,3.066383527369548112e+00,3.679742216437664748e+00
4.000000000000000000e+01,3.048130603188952570e+00,3.695931699278469651e+00
4.100000000000000000e+01,3.022020512605680498e+00,3.646843054746624624e+00
4.200000000000000000e+01,2.999349499807254293e+00,3.667574518612150225e+00
4.300000000000000000e+01,2.982485721962018221e+00,3.652750715485282296e+00
4.400000000000000000e+01,2.961055486908236389e+00,3.611338950180821961e+00
4.500000000000000000e+01,2.936968588140410397e+00,3.608716163391552545e+00
4.600000000000000000e+01,2.924427271429433706e+00,3.578850277795907697e+00
4.700000000000000000e+01,2.907341506990697599e+00,3.580891133641323609e+00
4.800000000000000000e+01,2.895672563884422512e+00,3.583589684428678535e+00
4.900000000000000000e+01,2.865839303399672744e+00,3.541957928689180246e+00
5.000000000000000000e+01,2.857117797352430877e+00,3.531895340083546664e+00
5.100000000000000000e+01,2.844174916211447801e+00,3.556992214097592253e+00
5.200000000000000000e+01,2.829459755233491247e+00,3.503094364031460461e+00
5.300000000000000000e+01,2.805517748073062201e+00,3.512156771825365453e+00
5.400000000000000000e+01,2.798216641503404656e+00,3.472451806258969764e+00
5.500000000000000000e+01,2.761900722876224457e+00,3.472692635114692727e+00
5.600000000000000000e+01,2.737950288775440111e+00,3.444739769903073956e+00
5.700000000000000000e+01,2.714884561731867763e+00,3.437980025392141759e+00
5.800000000000000000e+01,2.694217603871984057e+00,3.413132246915497880e+00
5.900000000000000000e+01,2.664674190415297961e+00,3.410688641711854707e+00
6.000000000000000000e+01,2.657542381975146029e+00,3.408202287063798686e+00
6.100000000000000000e+01,2.629248964760698470e+00,3.355290041435708304e+00
6.200000000000000000e+01,2.623169459808749604e+00,3.428041016555776199e+00
6.300000000000000000e+01,2.590943651649001200e+00,3.387470606801448625e+00
6.400000000000000000e+01,2.570740882844162023e+00,3.362610614810182863e+00
6.500000000000000000e+01,2.591008659986142604e+00,3.476069054042885575e+00
6.600000000000000000e+01,2.550782989290485858e+00,3.331844374492400007e+00
6.700000000000000000e+01,2.527137418360144938e+00,3.381658858128331335e+00
6.800000000000000000e+01,2.507258688972974436e+00,3.358421174696545997e+00
6.900000000000000000e+01,2.514546464626195910e+00,3.424553417667440147e+00
7.000000000000000000e+01,2.484738536277378174e+00,3.337445765744101234e+00
7.100000000000000000e+01,2.492568153520006824e+00,3.356015438449468480e+00
7.200000000000000000e+01,2.459029755798324057e+00,3.333717945480965117e+00
7.300000000000000000e+01,2.445935540509553974e+00,3.339154305689358893e+00
7.400000000000000000e+01,2.434820617413323784e+00,3.329237430703500866e+00
7.500000000000000000e+01,2.422338072545893173e+00,3.355508769580151984e+00
7.600000000000000000e+01,2.422869443112600774e+00,3.316194290140807688e+00
7.700000000000000000e+01,2.403240723526564704e+00,3.350012432805182794e+00
7.800000000000000000e+01,2.412135770270186885e+00,3.376028787074263349e+00
7.900000000000000000e+01,2.377784696758872052e+00,3.313756854262691842e+00
8.000000000000000000e+01,2.369155219082884845e+00,3.321319558290403595e+00
8.100000000000000000e+01,2.397077140881990864e+00,3.372136237435667816e+00
8.200000000000000000e+01,2.346138198135153452e+00,3.275067300177593399e+00
8.300000000000000000e+01,2.338129545994349190e+00,3.310383930878858738e+00
8.400000000000000000e+01,2.328094529399595825e+00,3.292575489210378237e+00
8.500000000000000000e+01,2.320190701367557562e+00,3.292125453563901960e+00
8.600000000000000000e+01,2.309307626261857482e+00,3.263597977214140577e+00
8.700000000000000000e+01,2.294593353256388468e+00,3.307205749488926649e+00
8.800000000000000000e+01,2.284232113400116670e+00,3.288629489365035408e+00
8.900000000000000000e+01,2.277805051364243383e+00,3.280075786790446646e+00
9.000000000000000000e+01,2.263381783541216219e+00,3.305328032839312868e+00
9.100000000000000000e+01,2.256551126768355786e+00,3.289479777584134457e+00
9.200000000000000000e+01,2.277173156362264805e+00,3.322830720558845652e+00
9.300000000000000000e+01,2.248429964124837532e+00,3.329044611940613407e+00
9.400000000000000000e+01,2.243867067129942772e+00,3.284520907017149050e+00
9.500000000000000000e+01,2.229918413446481118e+00,3.291390073863476484e+00
9.600000000000000000e+01,2.214548680923017265e+00,3.259741993914733627e+00
9.700000000000000000e+01,2.211747115986586465e+00,3.348857883231715071e+00
9.800000000000000000e+01,2.197762676704097196e+00,3.241459034927589133e+00
9.900000000000000000e+01,2.188158945140205702e+00,3.243572599330073025e+00
1.000000000000000000e+02,2.181510996889924670e+00,3.270961561271356732e+00
1.010000000000000000e+02,2.174890117677979351e+00,3.226084821156533167e+00
1.020000000000000000e+02,2.174925500516878163e+00,3.274924202670934648e+00
1.030000000000000000e+02,2.155414635480898511e+00,3.261649135548171596e+00
1.040000000000000000e+02,2.154345531765582411e+00,3.282691955504985604e+00
1.050000000000000000e+02,2.162138024904737499e+00,3.206459212812822646e+00
1.060000000000000000e+02,2.137478400750589813e+00,3.297414318154024748e+00
1.070000000000000000e+02,2.125773231191740997e+00,3.228185630949762519e+00
1.080000000000000000e+02,2.125738901291566396e+00,3.244729010074922204e+00
1.090000000000000000e+02,2.134321447663740212e+00,3.313267627860633446e+00
1.100000000000000000e+02,2.127291327518768149e+00,3.265826206338483750e+00
1.110000000000000000e+02,2.108477780952056069e+00,3.213494064744924827e+00
1.120000000000000000e+02,2.101327214339376859e+00,3.260398482018111999e+00
1.130000000000000000e+02,2.105357345239419420e+00,3.238832198984331168e+00
1.140000000000000000e+02,2.083843647582639846e+00,3.197493075813103935e+00
1.150000000000000000e+02,2.077474811814498334e+00,3.282866742133660143e+00
1.160000000000000000e+02,2.087045718022264129e+00,3.257264013509282297e+00
1.170000000000000000e+02,2.092994661531963896e+00,3.296111024401311873e+00
1.180000000000000000e+02,2.057652438552071583e+00,3.183738533944384219e+00
1.190000000000000000e+02,2.044658875383838836e+00,3.237815862202798378e+00
1.200000000000000000e+02,2.095130802415538174e+00,3.230796501335754023e+00
1.210000000000000000e+02,2.039718341662213330e+00,3.157895187959448347e+00
1.220000000000000000e+02,2.043777730720072405e+00,3.314120987214863590e+00
1.230000000000000000e+02,2.027985793976334161e+00,3.153103420771470766e+00
1.240000000000000000e+02,2.022513044091397649e+00,3.179984316390885635e+00
1.250000000000000000e+02,2.039268015103333553e+00,3.232577994163140289e+00
1.260000000000000000e+02,2.020442294437258646e+00,3.189933123961230965e+00
1.270000000000000000e+02,2.009947798593253676e+00,3.270411258254283471e+00
1.280000000000000000e+02,2.006623219914613454e+00,3.120674435605454988e+00
1.290000000000000000e+02,2.001964250898959907e+00,3.220183297627354335e+00
1.300000000000000000e+02,1.981738028710148036e+00,3.188750875934017071e+00
1.310000000000000000e+02,1.985905401660425174e+00,3.174429322384744179e+00
